"","Year","Award","Nominee","Winner"
"1178","2010","Writing","The Fighter","NO"
"11810","2010","Writing","Inception","NO"
"11910","2010","Writing","The Kids Are All Right","NO"
"1201","2010","Writing","The King's Speech","YES"
"13610","2009","ACTOR IN A LEADING ROLE","Crazy Heart ","YES"
"1373","2009","ACTOR IN A LEADING ROLE","Up in the Air ","NO"
"13810","2009","ACTOR IN A LEADING ROLE","A Single Man ","NO"
"13910","2009","ACTOR IN A LEADING ROLE","Invictus ","NO"
"1401","2009","ACTOR IN A LEADING ROLE","The Hurt Locker ","NO"
"1411","2009","ACTOR IN A SUPPORTING ROLE","Invictus ","NO"
"1421","2009","ACTOR IN A SUPPORTING ROLE","The Messenger ","NO"
"14310","2009","ACTOR IN A SUPPORTING ROLE","The Last Station ","NO"
"14410","2009","ACTOR IN A SUPPORTING ROLE","The Lovely Bones ","NO"
"14510","2009","ACTOR IN A SUPPORTING ROLE","Inglourious Basterds ","YES"
"1464","2009","ACTRESS IN A LEADING ROLE","The Blind Side ","YES"
"1471","2009","ACTRESS IN A LEADING ROLE","The Last Station ","NO"
"1481","2009","ACTRESS IN A LEADING ROLE","An Education ","NO"
"14910","2009","ACTRESS IN A LEADING ROLE","Precious: Based on the Novel 'Push' by Sapphire ","NO"
"1501","2009","ACTRESS IN A LEADING ROLE","Julie & Julia ","NO"
"15110","2009","ACTRESS IN A SUPPORTING ROLE","Nine ","NO"
"15210","2009","ACTRESS IN A SUPPORTING ROLE","Up in the Air ","NO"
"153","2009","ACTRESS IN A SUPPORTING ROLE","Crazy Heart ","NO"
"154","2009","ACTRESS IN A SUPPORTING ROLE","Up in the Air ","NO"
"155","2009","ACTRESS IN A SUPPORTING ROLE","Precious: Based on the Novel 'Push' by Sapphire ","YES"
"16110","2009","ART DIRECTION","Avatar","YES"
"16210","2009","ART DIRECTION","The Imaginarium of Doctor Parnassus","NO"
"1632","2009","ART DIRECTION","Nine","NO"
"16410","2009","ART DIRECTION","Sherlock Holmes","NO"
"16510","2009","ART DIRECTION","The Young Victoria","NO"
"1662","2009","CINEMATOGRAPHY","Avatar","YES"
"1671","2009","CINEMATOGRAPHY","Harry Potter and the Half-Blood Prince","NO"
"1681","2009","CINEMATOGRAPHY","The Hurt Locker","NO"
"1691","2009","CINEMATOGRAPHY","Inglourious Basterds","NO"
"17010","2009","CINEMATOGRAPHY","The White Ribbon","NO"
"17110","2009","COSTUME DESIGN","Bright Star","NO"
"17210","2009","COSTUME DESIGN","Coco before Chanel","NO"
"17310","2009","COSTUME DESIGN","The Imaginarium of Doctor Parnassus","NO"
"1741","2009","COSTUME DESIGN","Nine","NO"
"1755","2009","COSTUME DESIGN","The Young Victoria","YES"
"17610","2009","DIRECTING","Avatar","NO"
"17710","2009","DIRECTING","The Hurt Locker","YES"
"1783","2009","DIRECTING","Inglourious Basterds","NO"
"1791","2009","DIRECTING","Precious: Based on the Novel 'Push' by Sapphire","NO"
"18010","2009","DIRECTING","Up in the Air","NO"
"191","2009","FILM EDITING","Avatar","NO"
"1921","2009","FILM EDITING","District 9","NO"
"19310","2009","FILM EDITING","The Hurt Locker","YES"
"19410","2009","FILM EDITING","Inglourious Basterds","NO"
"1951","2009","FILM EDITING","Precious: Based on the Novel 'Push' by Sapphire","NO"
"201","2009","MAKEUP","Il Divo","NO"
"202","2009","MAKEUP","Star Trek","YES"
"203","2009","MAKEUP","The Young Victoria","NO"
"204","2009","Music (Scoring)","Avatar","NO"
"205","2009","Music (Scoring)","Fantastic Mr. Fox","NO"
"206","2009","Music (Scoring)","The Hurt Locker","NO"
"207","2009","Music (Scoring)","Sherlock Holmes","NO"
"208","2009","Music (Scoring)","Up","YES"
"209","2009","Music (Song)","The Princess and the Frog","NO"
"2101","2009","Music (Song)","The Princess and the Frog","NO"
"21110","2009","Music (Song)","Paris 36","NO"
"21210","2009","Music (Song)","Nine","NO"
"21310","2009","Music (Song)","Crazy Heart","YES"
"2149","2009","BEST PICTURE","Avatar","NO"
"2151","2009","BEST PICTURE","The Blind Side","NO"
"2164","2009","BEST PICTURE","District 9","NO"
"21710","2009","BEST PICTURE","An Education","NO"
"2187","2009","BEST PICTURE","The Hurt Locker","YES"
"2191","2009","BEST PICTURE","Inglourious Basterds","NO"
"220","2009","BEST PICTURE","Precious: Based on the Novel 'Push' by Sapphire","NO"
"221","2009","BEST PICTURE","A Serious Man","NO"
"222","2009","BEST PICTURE","Up","NO"
"223","2009","BEST PICTURE","Up in the Air","NO"
"234","2009","SOUND MIXING","Avatar","NO"
"235","2009","SOUND MIXING","The Hurt Locker","YES"
"236","2009","SOUND MIXING","Inglourious Basterds","NO"
"237","2009","SOUND MIXING","Star Trek","NO"
"238","2009","SOUND MIXING","Transformers: Revenge of the Fallen","NO"
"239","2009","SOUND EDITING","Avatar","NO"
"240","2009","SOUND EDITING","The Hurt Locker","YES"
"241","2009","SOUND EDITING","Inglourious Basterds","NO"
"242","2009","SOUND EDITING","Star Trek","NO"
"243","2009","SOUND EDITING","Up","NO"
"244","2009","VISUAL EFFECTS","Avatar","YES"
"2451","2009","VISUAL EFFECTS","District 9","NO"
"24610","2009","VISUAL EFFECTS","Star Trek","NO"
"2475","2009","Writing","District 9","NO"
"2481","2009","Writing","An Education","NO"
"2491","2009","Writing","In the Loop","NO"
"25010","2009","Writing","Precious: Based on the Novel 'Push' by Sapphire","YES"
"25110","2009","Writing","Up in the Air","NO"
"25210","2009","Writing","The Hurt Locker","YES"
"2532","2009","Writing","Inglourious Basterds","NO"
"2541","2009","Writing","The Messenger","NO"
"2551","2009","Writing","A Serious Man","NO"
"25610","2009","Writing","Up","NO"
"27610","2008","ACTOR IN A LEADING ROLE","The Visitor ","NO"
"27710","2008","ACTOR IN A LEADING ROLE","Frost/Nixon ","NO"
"2786","2008","ACTOR IN A LEADING ROLE","Milk ","YES"
"2791","2008","ACTOR IN A LEADING ROLE","The Curious Case of Benjamin Button ","NO"
"2801","2008","ACTOR IN A LEADING ROLE","The Wrestler ","NO"
"28110","2008","ACTOR IN A SUPPORTING ROLE","Milk ","NO"
"2823","2008","ACTOR IN A SUPPORTING ROLE","Tropic Thunder ","NO"
"28310","2008","ACTOR IN A SUPPORTING ROLE","Doubt ","NO"
"2849","2008","ACTOR IN A SUPPORTING ROLE","The Dark Knight ","YES"
"2851","2008","ACTOR IN A SUPPORTING ROLE","Revolutionary Road ","NO"
"28610","2008","ACTRESS IN A LEADING ROLE","Rachel Getting Married ","NO"
"28710","2008","ACTRESS IN A LEADING ROLE","Changeling ","NO"
"28810","2008","ACTRESS IN A LEADING ROLE","Frozen River ","NO"
"28910","2008","ACTRESS IN A LEADING ROLE","Doubt ","NO"
"290","2008","ACTRESS IN A LEADING ROLE","The Reader ","YES"
"291","2008","ACTRESS IN A SUPPORTING ROLE","Doubt ","NO"
"292","2008","ACTRESS IN A SUPPORTING ROLE","Vicky Cristina Barcelona ","YES"
"293","2008","ACTRESS IN A SUPPORTING ROLE","Doubt ","NO"
"294","2008","ACTRESS IN A SUPPORTING ROLE","The Curious Case of Benjamin Button ","NO"
"29510","2008","ACTRESS IN A SUPPORTING ROLE","The Wrestler ","NO"
"29910","2008","ART DIRECTION","Changeling","NO"
"30010","2008","ART DIRECTION","The Curious Case of Benjamin Button","YES"
"30110","2008","ART DIRECTION","The Dark Knight","NO"
"3025","2008","ART DIRECTION","The Duchess","NO"
"3031","2008","ART DIRECTION","Revolutionary Road","NO"
"3041","2008","CINEMATOGRAPHY","Changeling","NO"
"30510","2008","CINEMATOGRAPHY","The Curious Case of Benjamin Button","NO"
"3061","2008","CINEMATOGRAPHY","The Dark Knight","NO"
"30710","2008","CINEMATOGRAPHY","The Reader","NO"
"3085","2008","CINEMATOGRAPHY","Slumdog Millionaire","YES"
"3091","2008","COSTUME DESIGN","Australia","NO"
"3101","2008","COSTUME DESIGN","The Curious Case of Benjamin Button","NO"
"31110","2008","COSTUME DESIGN","The Duchess","YES"
"31210","2008","COSTUME DESIGN","Milk","NO"
"31310","2008","COSTUME DESIGN","Revolutionary Road","NO"
"3144","2008","DIRECTING","The Curious Case of Benjamin Button","NO"
"3151","2008","DIRECTING","Frost/Nixon","NO"
"3161","2008","DIRECTING","Milk","NO"
"31710","2008","DIRECTING","The Reader","NO"
"3181","2008","DIRECTING","Slumdog Millionaire","YES"
"328","2008","FILM EDITING","The Curious Case of Benjamin Button","NO"
"32910","2008","FILM EDITING","The Dark Knight","NO"
"3304","2008","FILM EDITING","Frost/Nixon","NO"
"33110","2008","FILM EDITING","Milk","NO"
"33210","2008","FILM EDITING","Slumdog Millionaire","YES"
"338","2008","MAKEUP","The Curious Case of Benjamin Button","YES"
"339","2008","MAKEUP","The Dark Knight","NO"
"340","2008","MAKEUP","Hellboy II: The Golden Army","NO"
"341","2008","Music (Scoring)","The Curious Case of Benjamin Button","NO"
"342","2008","Music (Scoring)","Defiance","NO"
"343","2008","Music (Scoring)","Milk","NO"
"344","2008","Music (Scoring)","Slumdog Millionaire","YES"
"345","2008","Music (Scoring)","WALL-E","NO"
"346","2008","Music (Song)","WALL-E","NO"
"347","2008","Music (Song)","Slumdog Millionaire","YES"
"34810","2008","Music (Song)","Slumdog Millionaire","NO"
"34910","2008","BEST PICTURE","The Curious Case of Benjamin Button","NO"
"3503","2008","BEST PICTURE","Frost/Nixon","NO"
"3511","2008","BEST PICTURE","Milk","NO"
"3521","2008","BEST PICTURE","The Reader","NO"
"35310","2008","BEST PICTURE","Slumdog Millionaire","YES"
"364","2008","SOUND MIXING","The Curious Case of Benjamin Button","NO"
"365","2008","SOUND MIXING","The Dark Knight","NO"
"366","2008","SOUND MIXING","Slumdog Millionaire","YES"
"367","2008","SOUND MIXING","WALL-E","NO"
"368","2008","SOUND MIXING","Wanted","NO"
"369","2008","SOUND EDITING","The Dark Knight","YES"
"370","2008","SOUND EDITING","Iron Man","NO"
"371","2008","SOUND EDITING","Slumdog Millionaire","NO"
"372","2008","SOUND EDITING","WALL-E","NO"
"373","2008","SOUND EDITING","Wanted","NO"
"374","2008","VISUAL EFFECTS","The Curious Case of Benjamin Button","YES"
"375","2008","VISUAL EFFECTS","The Dark Knight","NO"
"376","2008","VISUAL EFFECTS","Iron Man","NO"
"377","2008","Writing","The Curious Case of Benjamin Button","NO"
"378","2008","Writing","Doubt","NO"
"379","2008","Writing","Frost/Nixon","NO"
"380","2008","Writing","The Reader","NO"
"381","2008","Writing","Slumdog Millionaire","YES"
"382","2008","Writing","Frozen River","NO"
"383","2008","Writing","Happy-Go-Lucky","NO"
"384","2008","Writing","In Bruges","NO"
"385","2008","Writing","Milk","YES"
"386","2008","Writing","WALL-E","NO"
"39410","2007","ACTOR IN A LEADING ROLE","Michael Clayton ","NO"
"39510","2007","ACTOR IN A LEADING ROLE","There Will Be Blood ","YES"
"39610","2007","ACTOR IN A LEADING ROLE","Sweeney Todd The Demon Barber of Fleet Street ","NO"
"3975","2007","ACTOR IN A LEADING ROLE","In the Valley of Elah ","NO"
"3981","2007","ACTOR IN A LEADING ROLE","Eastern Promises ","NO"
"3991","2007","ACTOR IN A SUPPORTING ROLE","The Assassination of Jesse James by the Coward Robert Ford ","NO"
"40010","2007","ACTOR IN A SUPPORTING ROLE","No Country for Old Men ","YES"
"4014","2007","ACTOR IN A SUPPORTING ROLE","Charlie Wilson's War ","NO"
"40210","2007","ACTOR IN A SUPPORTING ROLE","Into the Wild ","NO"
"40310","2007","ACTOR IN A SUPPORTING ROLE","Michael Clayton ","NO"
"4042","2007","ACTRESS IN A LEADING ROLE","Elizabeth: The Golden Age ","NO"
"4051","2007","ACTRESS IN A LEADING ROLE","Away from Her ","NO"
"40610","2007","ACTRESS IN A LEADING ROLE","La Vie en Rose ","YES"
"40710","2007","ACTRESS IN A LEADING ROLE","The Savages ","NO"
"40810","2007","ACTRESS IN A LEADING ROLE","Juno ","NO"
"40910","2007","ACTRESS IN A SUPPORTING ROLE","I'm Not There ","NO"
"4101","2007","ACTRESS IN A SUPPORTING ROLE","American Gangster ","NO"
"4116","2007","ACTRESS IN A SUPPORTING ROLE","Atonement ","NO"
"41210","2007","ACTRESS IN A SUPPORTING ROLE","Gone Baby Gone ","NO"
"4138","2007","ACTRESS IN A SUPPORTING ROLE","Michael Clayton ","YES"
"4171","2007","ART DIRECTION","American Gangster","NO"
"41810","2007","ART DIRECTION","Atonement","NO"
"41910","2007","ART DIRECTION","The Golden Compass","NO"
"42010","2007","ART DIRECTION","Sweeney Todd The Demon Barber of Fleet Street","YES"
"42110","2007","ART DIRECTION","There Will Be Blood","NO"
"4221","2007","CINEMATOGRAPHY","The Assassination of Jesse James by the Coward Robert Ford","NO"
"4235","2007","CINEMATOGRAPHY","Atonement","NO"
"42410","2007","CINEMATOGRAPHY","The Diving Bell and the Butterfly","NO"
"4258","2007","CINEMATOGRAPHY","No Country for Old Men","NO"
"4261","2007","CINEMATOGRAPHY","There Will Be Blood","YES"
"42710","2007","COSTUME DESIGN","Across the Universe","NO"
"4285","2007","COSTUME DESIGN","Atonement","NO"
"4291","2007","COSTUME DESIGN","Elizabeth: The Golden Age","YES"
"4301","2007","COSTUME DESIGN","La Vie en Rose","NO"
"43110","2007","COSTUME DESIGN","Sweeney Todd The Demon Barber of Fleet Street","NO"
"43210","2007","DIRECTING","The Diving Bell and the Butterfly","NO"
"43310","2007","DIRECTING","Juno","NO"
"4345","2007","DIRECTING","Michael Clayton","NO"
"4351","2007","DIRECTING","No Country for Old Men","YES"
"4361","2007","DIRECTING","There Will Be Blood","NO"
"4461","2007","FILM EDITING","The Bourne Ultimatum","YES"
"4473","2007","FILM EDITING","The Diving Bell and the Butterfly","NO"
"44810","2007","FILM EDITING","Into the Wild","NO"
"4496","2007","FILM EDITING","No Country for Old Men","NO"
"4501","2007","FILM EDITING","There Will Be Blood","NO"
"45610","2007","MAKEUP","La Vie en Rose","YES"
"4576","2007","MAKEUP","Norbit","NO"
"4581","2007","MAKEUP","Pirates of the Caribbean: At World's End","NO"
"4591","2007","Music (Scoring)","Atonement","YES"
"46010","2007","Music (Scoring)","The Kite Runner","NO"
"4614","2007","Music (Scoring)","Michael Clayton","NO"
"4621","2007","Music (Scoring)","Ratatouille","NO"
"46310","2007","Music (Scoring)","3:10 to Yuma","NO"
"4641","2007","Music (Song)","Once","YES"
"46510","2007","Music (Song)","Enchanted","NO"
"466","2007","Music (Song)","August Rush","NO"
"467","2007","Music (Song)","Enchanted","NO"
"468","2007","Music (Song)","Enchanted","NO"
"469","2007","BEST PICTURE","Atonement","NO"
"470","2007","BEST PICTURE","Juno","NO"
"471","2007","BEST PICTURE","Michael Clayton","NO"
"472","2007","BEST PICTURE","No Country for Old Men","YES"
"473","2007","BEST PICTURE","There Will Be Blood","NO"
"484","2007","SOUND MIXING","The Bourne Ultimatum","YES"
"485","2007","SOUND MIXING","No Country for Old Men","NO"
"486","2007","SOUND MIXING","Ratatouille","NO"
"487","2007","SOUND MIXING","3:10 to Yuma","NO"
"488","2007","SOUND MIXING","Transformers","NO"
"489","2007","SOUND EDITING","The Bourne Ultimatum","YES"
"490","2007","SOUND EDITING","No Country for Old Men","NO"
"491","2007","SOUND EDITING","Ratatouille","NO"
"492","2007","SOUND EDITING","There Will Be Blood","NO"
"493","2007","SOUND EDITING","Transformers","NO"
"494","2007","VISUAL EFFECTS","The Golden Compass","YES"
"495","2007","VISUAL EFFECTS","Pirates of the Caribbean: At World's End","NO"
"496","2007","VISUAL EFFECTS","Transformers","NO"
"497","2007","Writing","Atonement","NO"
"498","2007","Writing","Away from Her","NO"
"499","2007","Writing","The Diving Bell and the Butterfly","NO"
"50010","2007","Writing","No Country for Old Men","YES"
"50110","2007","Writing","There Will Be Blood","NO"
"5024","2007","Writing","Juno","YES"
"5031","2007","Writing","Lars and the Real Girl","NO"
"5041","2007","Writing","Michael Clayton","NO"
"505","2007","Writing","Ratatouille","NO"
"506","2007","Writing","The Savages","NO"
"521","2006","ACTOR IN A LEADING ROLE","Blood Diamond ","NO"
"522","2006","ACTOR IN A LEADING ROLE","Half Nelson ","NO"
"523","2006","ACTOR IN A LEADING ROLE","Venus ","NO"
"524","2006","ACTOR IN A LEADING ROLE","The Pursuit of Happyness ","NO"
"525","2006","ACTOR IN A LEADING ROLE","The Last King of Scotland ","YES"
"526","2006","ACTOR IN A SUPPORTING ROLE","Little Miss Sunshine ","YES"
"527","2006","ACTOR IN A SUPPORTING ROLE","Little Children ","NO"
"528","2006","ACTOR IN A SUPPORTING ROLE","Blood Diamond ","NO"
"529","2006","ACTOR IN A SUPPORTING ROLE","Dreamgirls ","NO"
"530","2006","ACTOR IN A SUPPORTING ROLE","The Departed ","NO"
"531","2006","ACTRESS IN A LEADING ROLE","Volver ","NO"
"532","2006","ACTRESS IN A LEADING ROLE","Notes on a Scandal ","NO"
"533","2006","ACTRESS IN A LEADING ROLE","The Queen ","YES"
"534","2006","ACTRESS IN A LEADING ROLE","The Devil Wears Prada ","NO"
"535","2006","ACTRESS IN A LEADING ROLE","Little Children ","NO"
"536","2006","ACTRESS IN A SUPPORTING ROLE","Babel ","NO"
"537","2006","ACTRESS IN A SUPPORTING ROLE","Notes on a Scandal ","NO"
"538","2006","ACTRESS IN A SUPPORTING ROLE","Little Miss Sunshine ","NO"
"539","2006","ACTRESS IN A SUPPORTING ROLE","Dreamgirls ","YES"
"5408","2006","ACTRESS IN A SUPPORTING ROLE","Babel ","NO"
"54410","2006","ART DIRECTION","Dreamgirls","NO"
"54510","2006","ART DIRECTION","The Good Shepherd","NO"
"54610","2006","ART DIRECTION","Pan's Labyrinth","YES"
"54710","2006","ART DIRECTION","Pirates of the Caribbean: Dead Man's Chest","NO"
"54810","2006","ART DIRECTION","The Prestige","NO"
"5496","2006","CINEMATOGRAPHY","The Black Dahlia","NO"
"5501","2006","CINEMATOGRAPHY","Children of Men","NO"
"5511","2006","CINEMATOGRAPHY","The Illusionist","NO"
"55210","2006","CINEMATOGRAPHY","Pan's Labyrinth","YES"
"5536","2006","CINEMATOGRAPHY","The Prestige","NO"
"5541","2006","COSTUME DESIGN","Curse of the Golden Flower","NO"
"55510","2006","COSTUME DESIGN","The Devil Wears Prada","NO"
"5561","2006","COSTUME DESIGN","Dreamgirls","NO"
"55710","2006","COSTUME DESIGN","Marie Antoinette","YES"
"55810","2006","COSTUME DESIGN","The Queen","NO"
"55910","2006","DIRECTING","Babel","NO"
"56010","2006","DIRECTING","The Departed","YES"
"56110","2006","DIRECTING","Letters from Iwo Jima","NO"
"5625","2006","DIRECTING","The Queen","NO"
"5631","2006","DIRECTING","United 93","NO"
"573","2006","FILM EDITING","Babel","NO"
"574","2006","FILM EDITING","Blood Diamond","NO"
"575","2006","FILM EDITING","Children of Men","NO"
"576","2006","FILM EDITING","The Departed","YES"
"577","2006","FILM EDITING","United 93","NO"
"583","2006","MAKEUP","Apocalypto","NO"
"584","2006","MAKEUP","Click","NO"
"585","2006","MAKEUP","Pan's Labyrinth","YES"
"586","2006","Music (Scoring)","Babel","YES"
"587","2006","Music (Scoring)","The Good German","NO"
"588","2006","Music (Scoring)","Notes on a Scandal","NO"
"589","2006","Music (Scoring)","Pan's Labyrinth","NO"
"590","2006","Music (Scoring)","The Queen","NO"
"591","2006","Music (Song)","An Inconvenient Truth","YES"
"592","2006","Music (Song)","Dreamgirls","NO"
"593","2006","Music (Song)","Dreamgirls","NO"
"594","2006","Music (Song)","Cars","NO"
"595","2006","Music (Song)","Dreamgirls","NO"
"596","2006","BEST PICTURE","Babel","NO"
"597","2006","BEST PICTURE","The Departed","YES"
"598","2006","BEST PICTURE","Letters from Iwo Jima","NO"
"599","2006","BEST PICTURE","Little Miss Sunshine","NO"
"600","2006","BEST PICTURE","The Queen","NO"
"611","2006","SOUND MIXING","Apocalypto","NO"
"612","2006","SOUND MIXING","Blood Diamond","NO"
"613","2006","SOUND MIXING","Dreamgirls","YES"
"614","2006","SOUND MIXING","Flags of Our Fathers","NO"
"615","2006","SOUND MIXING","Pirates of the Caribbean: Dead Man's Chest","NO"
"616","2006","SOUND EDITING","Apocalypto","NO"
"617","2006","SOUND EDITING","Blood Diamond","NO"
"618","2006","SOUND EDITING","Flags of Our Fathers","NO"
"619","2006","SOUND EDITING","Letters from Iwo Jima","YES"
"620","2006","SOUND EDITING","Pirates of the Caribbean: Dead Man's Chest","NO"
"621","2006","VISUAL EFFECTS","Pirates of the Caribbean: Dead Man's Chest","YES"
"622","2006","VISUAL EFFECTS","Poseidon","NO"
"623","2006","VISUAL EFFECTS","Superman Returns","NO"
"624","2006","Writing","Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","NO"
"625","2006","Writing","Children of Men","NO"
"626","2006","Writing","The Departed","YES"
"627","2006","Writing","Little Children","NO"
"628","2006","Writing","Notes on a Scandal","NO"
"629","2006","Writing","Babel","NO"
"630","2006","Writing","Letters from Iwo Jima","NO"
"631","2006","Writing","Little Miss Sunshine","YES"
"632","2006","Writing","Pan's Labyrinth","NO"
"633","2006","Writing","The Queen","NO"
"651","2005","ACTOR IN A LEADING ROLE","Capote ","YES"
"652","2005","ACTOR IN A LEADING ROLE","Hustle & Flow ","NO"
"653","2005","ACTOR IN A LEADING ROLE","Brokeback Mountain ","NO"
"654","2005","ACTOR IN A LEADING ROLE","Walk the Line ","NO"
"655","2005","ACTOR IN A LEADING ROLE","Good Night, and Good Luck. ","NO"
"656","2005","ACTOR IN A SUPPORTING ROLE","Syriana ","YES"
"657","2005","ACTOR IN A SUPPORTING ROLE","Crash ","NO"
